[main.c] ^^ enclave RIP=0x1010; ACCESSED=1
[main.c] ^^ enclave RIP=0x1017; ACCESSED=1
[main.c] ^^ enclave RIP=0x1019; ACCESSED=1
[main.c] ^^ enclave RIP=0x101a; ACCESSED=1
[main.c] ^^ enclave RIP=0x101b; ACCESSED=1
[main.c] ^^ enclave RIP=0x101e; ACCESSED=1
[main.c] ^^ enclave RIP=0x1021; ACCESSED=1
[main.c] ^^ enclave RIP=0x12e1; ACCESSED=1
[main.c] ^^ enclave RIP=0x12e5; ACCESSED=1
[main.c] ^^ enclave RIP=0x12e6; ACCESSED=1
[main.c] ^^ enclave RIP=0x12e9; ACCESSED=1
[main.c] ^^ enclave RIP=0x12ed; ACCESSED=1
[main.c] ^^ enclave RIP=0x12f1; ACCESSED=1
[main.c] ^^ enclave RIP=0x12f5; ACCESSED=1
[main.c] ^^ enclave RIP=0x12f9; ACCESSED=1
[main.c] ^^ enclave RIP=0x12fd; ACCESSED=1
[main.c] ^^ enclave RIP=0x1301; ACCESSED=1
[main.c] ^^ enclave RIP=0x1304; ACCESSED=1
[main.c] ^^ enclave RIP=0x1308; ACCESSED=1
[main.c] ^^ enclave RIP=0x130a; ACCESSED=1
[main.c] ^^ enclave RIP=0x130e; ACCESSED=1
[main.c] ^^ enclave RIP=0x1311; ACCESSED=1
[main.c] ^^ enclave RIP=0x1319; ACCESSED=1
[main.c] ^^ enclave RIP=0x1320; ACCESSED=1
[main.c] ^^ enclave RIP=0x1324; ACCESSED=1
[main.c] ^^ enclave RIP=0x132b; ACCESSED=1
[main.c] ^^ enclave RIP=0x132e; ACCESSED=1
[main.c] ^^ enclave RIP=0x1332; ACCESSED=1
[main.c] ^^ enclave RIP=0x1336; ACCESSED=1
[main.c] ^^ enclave RIP=0x133a; ACCESSED=1
[main.c] ^^ enclave RIP=0x133d; ACCESSED=1
[main.c] ^^ enclave RIP=0x1200; ACCESSED=1
[main.c] ^^ enclave RIP=0x1204; ACCESSED=1
[main.c] ^^ enclave RIP=0x1205; ACCESSED=1
[main.c] ^^ enclave RIP=0x1208; ACCESSED=1
[main.c] ^^ enclave RIP=0x120c; ACCESSED=1
[main.c] ^^ enclave RIP=0x1210; ACCESSED=1
[main.c] ^^ enclave RIP=0x1214; ACCESSED=1
[main.c] ^^ enclave RIP=0x1218; ACCESSED=1
[main.c] ^^ enclave RIP=0x1222; ACCESSED=1
[main.c] ^^ enclave RIP=0x122c; ACCESSED=1
