Iteration,ElapsedCycles
0,9610
1,9450
2,9396
3,9470
4,9386
5,9464
6,9394
7,9466
8,9466
9,9476
10,9464
11,9376
12,9378
13,9398
14,9382
15,9466
16,9458
17,9394
18,9396
19,9462
20,9450
21,9398
22,9492
23,9470
24,9466
25,9402
26,9388
27,9464
28,9380
29,9380
30,9392
31,9398
32,9390
33,9470
34,9398
35,9460
36,9392
37,9406
38,9462
39,9398
40,9388
41,9458
42,9384
43,9464
44,9372
45,9390
46,9394
47,9458
48,9388
49,9494
50,9390
51,9384
52,9450
53,9386
54,9466
55,9398
56,9480
57,9496
58,9486
59,9460
60,9486
61,9394
62,9384
63,9398
64,9472
65,9456
66,9468
67,9472
68,9448
69,9470
70,9390
71,9468
72,9454
73,9458
74,9394
75,9466
76,9484
77,9390
78,9462
79,9394
80,9388
81,9464
82,9396
83,9430
84,9398
85,9378
86,9384
87,9396
88,9390
89,9448
90,9470
91,9472
92,9390
93,9468
94,9466
95,9466
96,9464
97,9392
98,9464
99,9382
100,9412
101,9392
102,9396
103,9398
104,9470
105,9484
106,9396
107,9404
108,9382
109,9414
110,9398
111,9392
112,9398
113,9466
114,9382
115,9468
116,9468
117,9384
118,9472
119,9392
120,9458
121,9472
122,9398
123,9388
124,9400
125,9398
126,9486
127,9472
128,9402
129,9394
130,9392
131,9446
132,9404
133,9404
134,9466
135,9396
136,9392
137,9486
138,9390
139,9404
140,9462
141,9374
142,9402
143,9472
144,9392
145,9386
146,9464
147,9392
148,9402
149,9446
150,9388
151,9392
152,9384
153,9462
154,9478
155,9398
156,9398
157,9410
158,9400
159,9478
160,9370
161,9398
162,9464
163,9472
164,9380
165,9400
166,9396
167,9390
168,9396
169,9398
170,9468
171,9390
172,9380
173,9466
174,9458
175,9398
176,9392
177,9388
178,9412
179,9396
180,9466
181,9386
182,9472
183,9396
184,9452
185,9394
186,9396
187,9396
188,9384
189,9392
190,9396
191,9390
192,9398
193,9460
194,9462
195,9360
196,9472
197,9394
198,9394
199,9394
200,9470
201,9462
202,9482
203,9390
204,9384
205,9404
206,9384
207,9468
208,9458
209,9452
210,9384
211,9476
212,9450
213,9382
214,9394
215,9468
216,9392
217,9408
218,9390
219,9378
220,9394
221,9384
222,9456
223,9468
224,9376
225,9390
226,9400
227,9384
228,9472
229,9400
230,9382
231,9382
232,9468
233,9380
234,9384
235,9464
236,9448
237,9388
238,9468
239,9448
240,9394
241,9402
242,9380
243,9488
244,9474
245,9450
246,9390
247,9394
248,9384
249,9444
250,9400
251,9380
252,9470
253,9498
254,9456
255,9466
256,9404
257,9398
258,9466
259,9394
260,9382
261,9398
262,9466
263,9384
264,9464
265,9398
266,9460
267,9392
268,9496
269,9462
270,9392
271,9400
272,9390
273,9462
274,9454
275,9458
276,9466
277,9480
278,9438
279,9450
280,9390
281,9482
282,9388
283,9458
284,9386
285,9382
286,9384
287,9468
288,9466
289,9390
290,9378
291,9392
292,9388
293,9378
294,9466
295,9474
296,9388
297,9390
298,9394
299,9380
300,9390
301,9388
302,9388
303,9388
304,9396
305,9390
306,9386
307,9402
308,9492
309,9468
310,9388
311,9454
312,9380
313,9384
314,9392
315,9390
316,9392
317,9472
318,9374
319,9488
320,9460
321,9400
322,9394
323,9390
324,9490
325,9396
326,9382
327,9384
328,9468
329,9384
330,9484
331,9462
332,9482
333,9470
334,9386
335,9496
336,9390
337,9464
338,9482
339,9388
340,9392
341,9468
342,9466
343,9396
344,9380
345,9400
346,9468
347,9460
348,9458
349,9382
350,9384
351,9386
352,9466
353,9470
354,9458
355,9460
356,9390
357,9388
358,9486
359,9388
360,9392
361,9462
362,9394
363,9398
364,9508
365,9382
366,9448
367,9390
368,9462
369,9386
370,9388
371,9392
372,9392
373,9458
374,9396
375,9384
376,9454
377,9390
378,9434
379,9456
380,9382
381,9372
382,9452
383,9462
384,9456
385,9392
386,9402
387,9402
388,9394
389,9462
390,9484
391,9374
392,9460
393,9378
394,9390
395,9468
396,9460
397,9388
398,9470
399,9466
400,9450
401,9458
402,9380
403,9452
404,9384
405,9458
406,9386
407,9494
408,9458
409,9456
410,9470
411,9472
412,9482
413,9392
414,9376
415,9380
416,9466
417,9380
418,9386
419,9392
420,9384
421,9462
422,9388
423,9378
424,9386
425,9466
426,9462
427,9388
428,9388
429,9466
430,9388
431,9392
432,9460
433,9374
434,9398
435,9454
436,9458
437,9470
438,9464
439,9448
440,9394
441,9388
442,9386
443,9390
444,9378
445,9388
446,9472
447,9382
448,9372
449,9466
450,9482
451,9380
452,9508
453,9398
454,9454
455,9396
456,9464
457,9384
458,9374
459,9392
460,9382
461,9394
462,9392
463,9372
464,9480
465,9562
466,9518
467,9440
468,9504
469,9458
470,9446
471,9502
472,9508
473,9512
474,9510
475,9520
476,9518
477,9428
478,9452
479,9436
480,9502
481,9450
482,9516
483,9432
484,9452
485,9444
486,9510
487,9438
488,9450
489,9532
490,9438
491,9440
492,9440
493,9448
494,9444
495,9438
496,9516
497,9506
498,9438
499,9454
500,9518
501,9440
502,9450
503,9440
504,9440
505,9446
506,9528
507,9512
508,9524
509,9444
510,9448
511,9440
512,9446
513,9442
514,9516
515,9446
516,9514
517,9444
518,9438
519,9430
520,9438
521,9506
522,9436
523,9516
524,9516
525,9506
526,9522
527,9434
528,9514
529,9514
530,9518
531,9508
532,9512
533,9448
534,9506
535,9442
536,9526
537,9510
538,9520
539,9436
540,9508
541,9444
542,9450
543,9528
544,9450
545,9450
546,9514
547,9516
548,9522
549,9436
550,9438
551,9444
552,9446
553,9444
554,9452
555,9430
556,9564
557,9494
558,9512
559,9448
560,9430
561,9514
562,9444
563,9428
564,9428
565,9516
566,9430
567,9430
568,9452
569,9500
570,9508
571,9434
572,9430
573,9510
574,9428
575,9424
576,9504
577,9436
578,9502
579,9536
580,9434
581,9432
582,9508
583,9446
584,9432
585,9512
586,9440
587,9434
588,9432
589,9444
590,9502
591,9508
592,9516
593,9434
594,9512
595,9442
596,9502
597,9510
598,9524
599,9504
600,9438
601,9440
602,9432
603,9440
604,9452
605,9432
606,9428
607,9510
608,9438
609,9506
610,9446
611,9500
612,9442
613,9518
614,9432
615,9446
616,9450
617,9508
618,9514
619,9448
620,9506
621,9440
622,9436
623,9416
624,9440
625,9514
626,9524
627,9442
628,9446
629,9506
630,9492
631,9440
632,9514
633,9418
634,9424
635,9514
636,9452
637,9510
638,9454
639,9434
640,9440
641,9434
642,9432
643,9508
644,9432
645,9446
646,9516
647,9506
648,9432
649,9478
650,9502
651,9514
652,9512
653,9512
654,9500
655,9510
656,9502
657,9502
658,9512
659,9516
660,9442
661,9432
662,9508
663,9508
664,9512
665,9436
666,9428
667,9520
668,9446
669,9440
670,9442
671,9438
672,9514
673,9444
674,9512
675,9444
676,9514
677,9514
678,9438
679,9510
680,9508
681,9432
682,9504
683,9448
684,9444
685,9428
686,9518
687,9426
688,9436
689,9508
690,9442
691,9434
692,9616
693,9568
694,9352
695,9434
696,9372
697,9340
698,9350
699,9466
700,9344
701,9432
702,9472
703,9342
704,9366
705,9444
706,9354
707,9358
708,9362
709,9336
710,9360
711,9466
712,9346
713,9354
714,9458
715,9420
716,9430
717,9366
718,9418
719,9354
720,9448
721,9348
722,9432
723,9380
724,9422
725,9364
726,9372
727,9350
728,9462
729,9382
730,9350
731,9428
732,9372
733,9338
734,9434
735,9378
736,9350
737,9430
738,9444
739,9342
740,9356
741,9358
742,9424
743,9358
744,9448
745,9420
746,9370
747,9372
748,9414
749,9462
750,9364
751,9352
752,9462
753,9364
754,9414
755,9368
756,9370
757,9344
758,9444
759,9446
760,9344
761,9426
762,9368
763,9352
764,9428
765,9440
766,9428
767,9426
768,9374
769,9438
770,9362
771,9362
772,9354
773,9362
774,9466
775,9418
776,9362
777,9364
778,9432
779,9434
780,9372
781,9416
782,9352
783,9370
784,9352
785,9358
786,9366
787,9352
788,9374
789,9368
790,9410
791,9406
792,9436
793,9364
794,9430
795,9350
796,9438
797,9362
798,9360
799,9424
800,9452
801,9350
802,9436
803,9432
804,9428
805,9368
806,9340
807,9454
808,9372
809,9358
810,9430
811,9434
812,9356
813,9358
814,9364
815,9362
816,9364
817,9458
818,9356
819,9354
820,9442
821,9434
822,9424
823,9368
824,9436
825,9354
826,9462
827,9364
828,9360
829,9356
830,9446
831,9368
832,9440
833,9356
834,9436
835,9372
836,9350
837,9360
838,9366
839,9436
840,9434
841,9368
842,9362
843,9352
844,9358
845,9364
846,9358
847,9356
848,9350
849,9432
850,9360
851,9358
852,9362
853,9370
854,9436
855,9430
856,9374
857,9456
858,9364
859,9360
860,9350
861,9438
862,9360
863,9364
864,9360
865,9366
866,9368
867,9454
868,9364
869,9354
870,9456
871,9358
872,9358
873,9358
874,9462
875,9360
876,9364
877,9440
878,9352
879,9354
880,9430
881,9434
882,9358
883,9450
884,9434
885,9432
886,9364
887,9364
888,9426
889,9368
890,9410
891,9430
892,9436
893,9346
894,9364
895,9372
896,9354
897,9432
898,9364
899,9420
900,9354
901,9438
902,9342
903,9456
904,9442
905,9422
906,9458
907,9372
908,9350
909,9360
910,9362
911,9430
912,9422
913,9364
914,9430
915,9426
916,9364
917,9354
918,9368
919,9370
920,9386
921,9378
922,9378
923,9436
924,9384
925,9452
926,9376
927,9388
928,9452
929,9368
930,9378
931,9450
932,9364
933,9466
934,9380
935,9370
936,9460
937,9378
938,9374
939,9386
940,9456
941,9444
942,9384
943,9372
944,9372
945,9376
946,9378
947,9372
948,9378
949,9456
950,9374
951,9384
952,9378
953,9364
954,9462
955,9456
956,9374
957,9388
958,9450
959,9366
960,9388
961,9376
962,9370
963,9388
964,9372
965,9450
966,9458
967,9446
968,9374
969,9382
970,9450
971,9444
972,9382
973,9448
974,9374
975,9378
976,9454
977,9446
978,9382
979,9450
980,9444
981,9464
982,9444
983,9372
984,9458
985,9384
986,9450
987,9462
988,9382
989,9372
990,9394
991,9448
992,9378
993,9386
994,9376
995,9374
996,9380
997,9380
998,9410
999,9362
1000,9390
1001,9400
1002,9460
1003,9446
1004,9354
1005,9388
1006,9378
1007,9388
1008,9378
1009,9364
1010,9394
1011,9386
1012,9382
1013,9388
1014,9464
1015,9360
1016,9448
1017,9444
1018,9376
1019,9462
1020,9372
1021,9374
1022,9390
1023,9390
1024,9452
1025,9460
1026,9446
1027,9446
1028,9360
1029,9458
1030,9384
1031,9464
1032,9386
1033,9444
1034,9470
1035,9392
1036,9390
1037,9464
1038,9384
1039,9372
