Iteration,ElapsedCycles
0,13702
1,12762
2,12802
3,12794
4,12750
5,12670
6,12790
7,12738
8,12808
9,12684
10,12786
11,12716
12,12714
13,12762
14,16056
15,15982
16,17228
17,15068
18,20132
19,15712
20,15948
21,18926
22,15484
23,17822
24,16318
25,19240
26,12732
27,12690
28,12678
29,16430
30,16304
31,21746
32,16100
33,14466
34,16378
35,21168
36,21798
37,19814
38,16592
39,20048
40,15022
41,14288
42,21432
43,21732
44,18620
45,20376
46,17376
47,18798
48,16662
49,16544
50,21510
51,15314
52,20444
53,17152
54,17446
55,20714
56,20336
57,16924
58,22720
59,19108
60,21686
61,18642
62,18886
63,17848
64,20112
65,18194
66,19032
67,16348
68,18318
69,17596
70,19730
71,12860
72,12756
73,12784
74,12800
75,12818
76,12782
77,12818
78,12732
79,12700
80,12692
81,12726
82,12724
83,12742
84,13840
85,12782
86,12696
87,12732
88,12766
89,12674
90,12732
91,12758
92,12666
93,12790
94,12754
95,12696
96,12708
97,12744
98,12770
99,12656
100,12686
101,12702
102,12770
103,12756
104,12688
105,12768
106,12740
107,12766
108,12754
109,12690
110,12676
111,12746
112,12718
113,12740
114,12738
115,12664
116,12732
117,12760
118,12708
119,12662
120,12776
121,12760
122,12676
123,12756
124,12764
125,12732
126,12770
127,12688
128,12766
129,12686
130,12744
131,12730
132,12700
133,12762
134,12742
135,12684
136,12684
137,12692
138,12716
139,12742
140,12760
141,12702
142,12686
143,12782
144,12758
145,12750
146,12760
147,12696
148,12766
149,12706
150,12748
151,12700
152,12762
153,12762
154,12674
155,12750
156,12744
157,12768
158,12700
159,12686
160,12744
161,12758
162,12740
163,12686
164,12688
165,12684
166,12756
167,12758
168,12708
169,12736
170,12688
171,12698
172,12790
173,12762
174,12692
175,12740
176,12704
177,12678
178,12710
179,12738
180,12692
181,12748
182,12692
183,12750
184,12734
185,12772
186,12768
187,12684
188,12686
189,12678
190,12760
191,12764
192,12708
193,16576
194,17574
195,17998
196,16424
197,15652
198,15978
199,17118
200,17428
201,18144
202,16654
203,17448
204,18726
205,15634
206,17788
207,15298
208,17020
209,18588
210,15956
211,17224
212,17994
213,16912
214,17320
215,16646
216,16712
217,17546
218,17462
219,17954
220,17070
221,17570
222,17510
223,15892
224,14190
225,16036
226,18028
227,16664
228,15810
229,17330
230,17110
231,17014
232,18006
233,15772
234,16456
235,16836
236,15566
237,16712
238,16792
239,16372
240,16814
241,13724
242,12714
243,12758
244,12782
245,12736
246,12728
247,12732
248,12818
249,12714
250,12816
251,12770
252,12744
253,12824
254,12714
255,12710
256,12788
257,12744
258,12728
259,12794
260,12752
261,12740
262,12748
263,12770
264,12806
265,12796
266,12808
267,12750
268,12762
269,12796
270,12720
271,12780
272,12816
273,12786
274,12720
275,12748
276,12766
277,12786
278,12804
279,12810
280,12734
281,12722
282,12810
283,12740
284,12702
285,12830
286,12742
287,12774
288,12796
289,12782
290,12754
291,12812
292,12714
293,12734
294,12772
295,12764
296,12788
297,12816
298,12736
299,12822
300,12746
301,12782
302,12774
303,12708
304,12764
305,12798
306,12708
307,12718
308,12732
309,12726
310,12802
311,12712
312,12726
313,12720
314,12768
315,12836
316,12752
317,12738
318,12790
319,12692
320,12786
321,12728
322,12804
323,12776
324,12806
325,12742
326,12750
327,12802
328,12706
329,12780
330,12736
331,12804
332,12722
333,12728
334,12728
335,12844
336,12802
337,12736
338,12714
339,12734
340,12800
341,12712
342,12730
343,12728
344,12730
345,12800
346,12794
347,12804
348,12822
349,12798
350,12778
351,12772
352,12814
353,12772
354,12772
355,12704
356,12796
357,12696
358,12706
359,12758
360,12846
361,12780
362,12778
363,12714
364,12738
365,12734
366,12714
