Iteration,ElapsedCycles
0,11058
1,10804
2,10908
3,10850
4,10862
5,10812
6,10862
7,10906
8,10824
9,10882
10,10870
11,10858
12,10984
13,10888
14,10850
15,10868
16,10898
17,10986
18,10930
19,10860
20,10880
21,10942
22,10904
23,31776
24,10894
25,10934
26,10860
27,10892
28,10838
29,10812
30,10876
31,10866
32,10768
33,10860
34,10838
35,11126
36,10944
37,10900
38,10860
39,10894
40,10902
41,10956
42,10900
43,10862
44,10898
45,10926
46,10918
47,10878
48,10892
49,10866
50,10818
51,10882
52,10838
53,10882
54,10838
55,10888
56,10780
57,10934
58,10920
59,10906
60,10904
61,10890
62,10920
63,10914
64,10888
65,10858
66,10878
67,10248
68,9704
69,9680
70,9660
71,9682
72,9674
73,9672
74,9678
75,9650
76,9704
77,9682
78,9688
79,9672
80,9692
81,9650
82,9686
83,9690
84,9680
85,9672
86,9664
87,9688
88,9678
89,9636
90,9678
91,9664
92,9648
93,9674
94,9662
95,9694
96,9674
97,9672
98,9698
99,9672
100,9690
101,9682
102,9668
103,9680
104,9676
105,9674
106,9698
107,9660
108,9670
109,9690
110,9688
111,9674
112,9658
113,9682
114,9686
115,9716
116,9674
117,9662
118,9690
119,9682
120,9678
121,9692
122,9684
123,9640
124,9654
125,9670
126,9686
127,9696
128,9692
129,9680
130,9668
131,9682
132,9642
133,9694
134,9690
135,9684
136,9658
137,9694
138,9644
139,9652
140,9648
141,9678
142,9694
143,9678
144,9688
145,9686
146,9692
147,9674
148,9682
149,9680
150,9646
151,9690
152,9660
153,9678
154,9700
155,9654
156,9650
157,9678
158,9648
159,9642
160,9654
161,9694
162,9632
163,9688
164,9710
165,9670
166,9694
167,9666
168,9658
169,9666
170,9664
171,9680
172,9698
173,9674
174,9674
175,9696
176,9670
177,9646
178,9694
179,9680
180,9672
181,9684
182,9690
183,9674
184,9686
185,9686
186,9688
187,9686
188,9644
189,9690
190,9690
191,9646
192,9686
193,9682
194,9644
195,9698
196,9704
197,9680
198,9674
199,9688
200,9682
201,9654
202,9704
203,9658
204,9686
205,9700
206,9676
207,9682
208,9702
209,9648
210,9680
211,9662
212,9686
213,9684
214,9666
215,9686
216,9664
217,9698
218,9688
219,9684
220,9704
221,9666
222,9682
223,9680
224,9662
225,9682
226,9686
227,9678
228,9688
229,9694
230,9676
231,9682
232,9696
233,9666
234,9674
235,9696
236,9660
237,9684
238,9690
239,9654
240,9674
241,9694
242,9642
243,9646
244,9684
245,9646
246,9666
247,9714
248,9680
249,9654
250,9668
251,9680
252,9680
253,9694
254,9644
255,9730
256,9676
257,9674
258,9682
259,9672
260,9696
261,9692
262,9632
263,9650
